categoria	forma	small	base	consens	estat
discurs	a nivell	0	0	no	ASR textual; pendent d'audició
discurs	a veure	0	1	no	ASR textual; pendent d'audició
discurs	aleshores	0	0	no	ASR textual; pendent d'audició
discurs	aviam	0	0	no	ASR textual; pendent d'audició
discurs	bueno	12	16	sí	ASR textual; pendent d'audició
discurs	bé	12	10	sí	ASR textual; pendent d'audició
discurs	clar	19	23	sí	ASR textual; pendent d'audició
discurs	de fet	3	2	sí	ASR textual; pendent d'audició
discurs	diguem	0	0	no	ASR textual; pendent d'audició
discurs	doncs	17	3	sí	ASR textual; pendent d'audició
discurs	evidentment	0	0	no	ASR textual; pendent d'audició
discurs	llavors	7	4	sí	ASR textual; pendent d'audició
discurs	no?	36	40	sí	ASR textual; pendent d'audició
discurs	o sigui	5	6	sí	ASR textual; pendent d'audició
discurs	per tant	2	1	sí	ASR textual; pendent d'audició
discurs	perquè	30	27	sí	ASR textual; pendent d'audició
discurs	vull dir	32	16	sí	ASR textual; pendent d'audició
discurs	és a dir	0	1	no	ASR textual; pendent d'audició
territorial	Canillo	0	0	no	ASR textual; pendent d'audició
territorial	Escaldes	0	0	no	ASR textual; pendent d'audició
territorial	Massana	0	0	no	ASR textual; pendent d'audició
territorial	Ordino	0	0	no	ASR textual; pendent d'audició
territorial	Sant Julià	0	0	no	ASR textual; pendent d'audició
territorial	aiguats	0	0	no	ASR textual; pendent d'audició
territorial	andorrana	0	0	no	ASR textual; pendent d'audició
territorial	comunal	0	0	no	ASR textual; pendent d'audició
territorial	comunals	0	0	no	ASR textual; pendent d'audició
territorial	comuns	1	1	sí	ASR textual; pendent d'audició
territorial	comú	0	0	no	ASR textual; pendent d'audició
territorial	copríncep	0	0	no	ASR textual; pendent d'audició
territorial	coprínceps	0	0	no	ASR textual; pendent d'audició
territorial	padrí	0	0	no	ASR textual; pendent d'audició
territorial	parròquia	0	0	no	ASR textual; pendent d'audició
territorial	santuari	0	0	no	ASR textual; pendent d'audició
territorial	veguer	0	0	no	ASR textual; pendent d'audició
